Fase,Duração (min),Thrust Required (kN),Thrust Obtained (kN),Combustível Consumido (kg),Emissão de CO2 (kg),Emissão de H2O (kg),TSFC (kg/s/kN),N2 (%)
Taxi (Saída),1,121.4,121.4,77.58000026533519,244.37700083580586,95.96646032821963,0.010650741387333221,99.22723168334544
Decolagem,1,94.69200000000001,94.69197805472912,74.74370015201657,235.4426554788522,92.45795708804451,0.013155584680541253,98.54984513286688
Subida 1,8,24.28,24.280001502797024,163.21818067928757,514.1372691397559,201.90088950027877,0.014004854010244216,78.60086944698797
Subida 2,8,18.21,18.210000816221314,145.378498398126,457.9422699540969,179.8332025184819,0.016632172327689675,81.65210601404463
Subida 3,8,8.498000000000001,8.498000970577552,81.81140744602484,257.7059334549782,101.20071101073273,0.02005653244443378,78.10693501289686
Cruzeiro,10,21.852,21.852012130659258,259.7969024191255,818.3602426202453,321.3687682924583,0.019814872643132937,97.73366332663826
Loiter,10,1.2140000000000002,1.2140000313084987,42.1145578656388,132.66085727676221,52.09570807979521,0.05781789783020847,56.71267974471256
Descida 1,8,1.2140000000000002,1.2140004854074022,24.27001984391825,76.45056250834247,30.022014546926876,0.04164952316681178,58.811501886008585
Descida 2,8,1.2140000000000002,1.2140004696868112,31.45100935435637,99.07067946622257,38.90489857133883,0.05397274366113941,56.93158977834951
Descida 3,8,1.2140000000000002,1.2140006592590744,42.655958630873506,134.36626968725156,52.76542082639053,0.07320142687173109,56.98547870491409
Pouso,1,8.498000000000001,8.497999083510164,9.59232894404112,30.21583617372952,11.865710903778865,0.01881291672266403,64.97041535651412
Taxi (Chegada),5,8.498000000000001,8.498015176055002,38.339116495751654,120.76821696161771,47.425487105244805,0.015038459256454932,61.154559807218355
